,frame,id,err,3d_x,3d_y,3d_z,cam1_x,cam1_y,cam2_x,cam2_y,cam1_proj_x,cam1_proj_y,cam2_proj_x,cam2_proj_y,cam1_tl_x,cam1_tl_y,cam1_c_x,cam1_c_y,cam1_w,cam1_h,cam1_theta,cam1_aa_tl_x,cam1_aa_tl_y,cam1_aa_w,cam1_aa_h,cam1_frame,cam2_tl_x,cam2_tl_y,cam2_c_x,cam2_c_y,cam2_w,cam2_h,cam2_theta,cam2_aa_tl_x,cam2_aa_tl_y,cam2_aa_w,cam2_aa_h,cam2_frame
0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,991.6466064453125,618.6180419921875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0,977.6142578125,600.2353515625,991.6466064453125,618.6180419921875,28.06475830078125,36.765380859375,0.0,977.6142578125,600.2353515625,28.06475830078125,36.765380859375,0
1,1,0,9.736494281420764,5.198373050191189,10.685363391530888,1.38298053317521,926.4942626953125,595.6361083984375,990.6209716796875,618.134765625,-1.0,-1.0,-1.0,-1.0,904.2600708007812,532.4705200195312,926.4942626953125,595.6361083984375,44.4683837890625,126.33111572265625,0.0,904.2600708007812,532.4705200195312,44.4683837890625,126.33111572265625,1,975.8375244140625,599.2097778320312,990.6209716796875,618.134765625,29.56689453125,37.84991455078125,0.0,975.8375244140625,599.2097778320312,29.56689453125,37.84991455078125,1
2,2,0,9.302084197870808,5.1720236185863335,10.55785800344654,1.3833308370416606,925.754150390625,590.2522583007812,990.2326049804688,617.993408203125,-1.0,-1.0,-1.0,-1.0,900.5701904296875,527.1165161132812,925.754150390625,590.2522583007812,50.36785888671875,126.271484375,0.0,900.5701904296875,527.1165161132812,50.36785888671875,126.271484375,2,974.0779418945312,597.6907348632812,990.2326049804688,617.993408203125,32.309326171875,40.60528564453125,0.0,974.0779418945312,597.6907348632812,32.309326171875,40.60528564453125,2
3,3,0,9.985851915649977,5.160741074014307,10.439957758210504,1.3730814822194035,924.977783203125,585.2772216796875,990.9351196289062,617.52880859375,-1.0,-1.0,-1.0,-1.0,898.072998046875,519.0302124023438,924.977783203125,585.2772216796875,53.8095703125,132.4940185546875,0.0,898.072998046875,519.0302124023438,53.8095703125,132.4940185546875,3,975.1110229492188,596.0337524414062,990.9351196289062,617.52880859375,31.648193359375,42.99005126953125,0.0,975.1110229492188,596.0337524414062,31.648193359375,42.99005126953125,3
4,4,0,8.188489513079421,5.140748308597349,10.28488264616315,1.3275669336152516,924.7696533203125,578.3615112304688,990.2904052734375,615.352783203125,-1.0,-1.0,-1.0,-1.0,896.524658203125,512.3056640625,924.7696533203125,578.3615112304688,56.49005126953125,132.1116943359375,0.0,896.524658203125,512.3056640625,56.49005126953125,132.1116943359375,4,973.8818359375,593.7163696289062,990.2904052734375,615.352783203125,32.81707763671875,43.2728271484375,0.0,973.8818359375,593.7163696289062,32.81707763671875,43.2728271484375,4
5,5,0,7.218978598862737,5.129703194095939,10.160252148949407,1.3164882298406513,924.837890625,572.9942016601562,990.2490234375,614.6995849609375,-1.0,-1.0,-1.0,-1.0,894.283935546875,506.3486633300781,924.837890625,572.9942016601562,61.10791015625,133.29110717773438,0.0,894.283935546875,506.3486633300781,61.10791015625,133.29110717773438,5,972.7762451171875,591.3941040039062,990.2490234375,614.6995849609375,34.94561767578125,46.61102294921875,0.0,972.7762451171875,591.3941040039062,34.94561767578125,46.61102294921875,5
6,6,0,5.700724709274614,5.110068041039137,9.893963579879212,1.2900717371236712,924.8506469726562,561.5453491210938,990.58447265625,613.254638671875,-1.0,-1.0,-1.0,-1.0,891.9295654296875,498.858154296875,924.8506469726562,561.5453491210938,65.8421630859375,125.3743896484375,0.0,891.9295654296875,498.858154296875,65.8421630859375,125.3743896484375,6,972.6280517578125,590.3389282226562,990.58447265625,613.254638671875,35.912841796875,45.83135986328125,0.0,972.6280517578125,590.3389282226562,35.912841796875,45.83135986328125,6
7,7,0,3.510753505826207,5.107194776721187,9.756468463805042,1.265971195691674,925.7760009765625,555.4739990234375,990.3653564453125,611.9568481445312,-1.0,-1.0,-1.0,-1.0,890.4415893554688,492.1975402832031,925.7760009765625,555.4739990234375,70.6688232421875,126.55294799804688,0.0,890.4415893554688,492.1975402832031,70.6688232421875,126.55294799804688,7,970.7393188476562,587.7797241210938,990.3653564453125,611.9568481445312,39.2520751953125,48.354248046875,0.0,970.7393188476562,587.7797241210938,39.2520751953125,48.354248046875,7
8,8,0,3.0779238653897663,5.077410681602956,9.636754265964733,1.266271706764745,924.885009765625,550.4309692382812,989.7808837890625,611.8389282226562,-1.0,-1.0,-1.0,-1.0,887.1610107421875,486.66619873046875,924.885009765625,550.4309692382812,75.447998046875,127.529541015625,0.0,887.1610107421875,486.66619873046875,75.447998046875,127.529541015625,8,970.3224487304688,586.0586547851562,989.7808837890625,611.8389282226562,38.9168701171875,51.560546875,0.0,970.3224487304688,586.0586547851562,38.9168701171875,51.560546875,8
9,9,0,6.738708184542995,4.997173340372113,9.4621850598561,1.2325205301324798,919.4874267578125,543.1121826171875,989.4241333007812,610.7012939453125,-1.0,-1.0,-1.0,-1.0,884.0300903320312,479.97857666015625,919.4874267578125,543.1121826171875,70.91473388671875,126.26727294921875,0.0,884.0300903320312,479.97857666015625,70.91473388671875,126.26727294921875,9,968.7325439453125,584.8672485351562,989.4241333007812,610.7012939453125,41.3831787109375,51.66802978515625,0.0,968.7325439453125,584.8672485351562,41.3831787109375,51.66802978515625,9
