,frame,id,cam,x,y,tl_x,tl_y,c_x,c_y,w,h,theta,l_x,l_y,r_x,r_y,aa_tl_x,aa_tl_y,aa_w,aa_h
1,1,1,2,972,686,933.4623413085938,647.6751708984375,972,686,1010.5398559570312,725.3719482421875,0,933.4623413085938,647.6751708984375,1944.002197265625,1295.350341796875,933.4623413085938,647.6751708984375,1944.002197265625,1295.350341796875
2,2,1,2,969,681,931.4407958984375,644.2982177734375,969,681,1007.1505737304688,718.3812255859375,0,931.4407958984375,644.2982177734375,1938.5913696289062,1288.596435546875,931.4407958984375,644.2982177734375,1938.5913696289062,1288.596435546875
3,3,1,2,966,676,929.1409301757812,640.469970703125,966,676,1003.7968139648438,712.5205688476562,0,929.1409301757812,640.469970703125,1932.937744140625,1280.93994140625,929.1409301757812,640.469970703125,1932.937744140625,1280.93994140625
4,4,1,2,963,674,926.2675170898438,638.0697021484375,963,674,1000.3795166015625,711.9215698242188,0,926.2675170898438,638.0697021484375,1926.6470336914062,1276.139404296875,926.2675170898438,638.0697021484375,1926.6470336914062,1276.139404296875
5,5,1,2,959,670,923.70263671875,635.21484375,959,670,995.1138305664062,706.1023559570312,0,923.70263671875,635.21484375,1918.8164672851562,1270.4296875,923.70263671875,635.21484375,1918.8164672851562,1270.4296875
6,6,1,2,957,667,922.4054565429688,631.5668334960938,957,667,992.7722778320312,703.9334716796875,0,922.4054565429688,631.5668334960938,1915.177734375,1263.1336669921875,922.4054565429688,631.5668334960938,1915.177734375,1263.1336669921875
7,7,1,2,955,666,919.1091918945312,629.4429931640625,955,666,991.797119140625,703.5203857421875,0,919.1091918945312,629.4429931640625,1910.9063110351562,1258.885986328125,919.1091918945312,629.4429931640625,1910.9063110351562,1258.885986328125
1,7,2,2,991,614,972.0245361328125,588.3627319335938,991,614,1010.1438598632812,641.2481689453125,0,972.0245361328125,588.3627319335938,1982.1683959960938,1176.7254638671875,972.0245361328125,588.3627319335938,1982.1683959960938,1176.7254638671875
8,8,1,2,952,661,917.3397827148438,627.67138671875,952,661,988.6170043945312,694.9801635742188,0,917.3397827148438,627.67138671875,1905.956787109375,1255.3427734375,917.3397827148438,627.67138671875,1905.956787109375,1255.3427734375
2,8,2,2,991,613,970.6329956054688,586.6201782226562,991,613,1013.0091552734375,639.75537109375,0,970.6329956054688,586.6201782226562,1983.6421508789062,1173.2403564453125,970.6329956054688,586.6201782226562,1983.6421508789062,1173.2403564453125
9,9,1,2,951,658,915.736328125,625.1163330078125,951,658,987.3255004882812,692.1798095703125,0,915.736328125,625.1163330078125,1903.0618286132812,1250.232666015625,915.736328125,625.1163330078125,1903.0618286132812,1250.232666015625
3,9,2,2,991,613,970.409423828125,585.051513671875,991,613,1012.0452880859375,641.3975830078125,0,970.409423828125,585.051513671875,1982.4547119140625,1170.10302734375,970.409423828125,585.051513671875,1982.4547119140625,1170.10302734375
10,10,1,2,950,655,914.5671997070312,623.7132568359375,950,655,985.4931030273438,688.0989379882812,0,914.5671997070312,623.7132568359375,1900.060302734375,1247.426513671875,914.5671997070312,623.7132568359375,1900.060302734375,1247.426513671875
4,10,2,2,991,611,969.0746459960938,583.9842529296875,991,611,1013.0308227539062,639.8140869140625,0,969.0746459960938,583.9842529296875,1982.10546875,1167.968505859375,969.0746459960938,583.9842529296875,1982.10546875,1167.968505859375
11,11,1,2,948,654,913.034912109375,621.3655395507812,948,654,984.4548950195312,687.6682739257812,0,913.034912109375,621.3655395507812,1897.4898071289062,1242.7310791015625,913.034912109375,621.3655395507812,1897.4898071289062,1242.7310791015625
5,11,2,2,983,613,965.9160766601562,583.9281005859375,983,613,1000.87646484375,642.4896850585938,0,965.9160766601562,583.9281005859375,1966.7925415039062,1167.856201171875,965.9160766601562,583.9281005859375,1966.7925415039062,1167.856201171875
12,12,1,2,946,652,909.7203979492188,619.2131958007812,946,652,983.1332397460938,686.76708984375,0,909.7203979492188,619.2131958007812,1892.8536376953125,1238.4263916015625,909.7203979492188,619.2131958007812,1892.8536376953125,1238.4263916015625
6,12,2,2,983,610,962.1943969726562,582.280029296875,983,610,1004.2796630859375,639.3809204101562,0,962.1943969726562,582.280029296875,1966.4740600585938,1164.56005859375,962.1943969726562,582.280029296875,1966.4740600585938,1164.56005859375
13,13,1,2,944,649,908.5986938476562,617.13525390625,944,649,980.8655395507812,681.6452026367188,0,908.5986938476562,617.13525390625,1889.4642333984375,1234.2705078125,908.5986938476562,617.13525390625,1889.4642333984375,1234.2705078125
7,13,2,2,983,608,960.4423217773438,580.2297973632812,983,608,1005.7667846679688,635.9108276367188,0,960.4423217773438,580.2297973632812,1966.2091064453125,1160.4595947265625,960.4423217773438,580.2297973632812,1966.2091064453125,1160.4595947265625
14,14,1,2,942,647,907.2583618164062,615.795166015625,942,647,978.7203369140625,680.1371459960938,0,907.2583618164062,615.795166015625,1885.9786987304688,1231.59033203125,907.2583618164062,615.795166015625,1885.9786987304688,1231.59033203125
8,14,2,2,983,604,959.8423461914062,579.3150024414062,983,604,1007.4628295898438,630.4762573242188,0,959.8423461914062,579.3150024414062,1967.30517578125,1158.6300048828125,959.8423461914062,579.3150024414062,1967.30517578125,1158.6300048828125
15,15,1,2,941,646,906.0841064453125,613.8060302734375,941,646,977.6890258789062,678.4951171875,0,906.0841064453125,613.8060302734375,1883.7731323242188,1227.612060546875,906.0841064453125,613.8060302734375,1883.7731323242188,1227.612060546875
9,15,2,2,985,604,960.2041625976562,578.005615234375,985,604,1010.084716796875,631.1029052734375,0,960.2041625976562,578.005615234375,1970.2888793945312,1156.01123046875,960.2041625976562,578.005615234375,1970.2888793945312,1156.01123046875
